date,erp,quality,recorded_at
2026-07-24,0.0387,,
2026-07-27,0.038,,
2026-07-28,0.0377,,
2026-07-29,0.0392,,
2026-07-31,0.0392,,
2026-08-03,0.0391,,
2026-08-04,0.0391,,
2026-08-05,0.0382,,
2026-08-06,0.0382,,
2026-08-07,0.0391,,
2026-08-10,0.0398,,
2026-08-11,0.0398,,
2026-08-12,0.0398,,
2026-08-13,0.0398,,
2026-08-14,0.0398,,
2026-08-17,0.0398,,
2026-08-18,0.0398,,
2026-08-19,0.0398,,
2026-08-20,0.0398,,
2026-08-21,0.0398,,
2026-08-24,0.0398,,
2026-08-25,0.0398,,
2026-09-01,0.0497,verified,2026-09-01T22:13:50+08:00
2026-09-02,0.0503,verified,2026-09-02T21:45:57+08:00
2026-09-03,0.0505,verified,2026-09-03T21:42:11+08:00
2026-09-04,0.0504,verified,2026-09-04T21:39:01+08:00
2026-09-07,0.0505,verified,2026-09-07T23:08:35+08:00
2026-09-08,0.0506,verified,2026-09-08T21:44:51+08:00
2026-09-09,0.0503,verified,2026-09-09T21:48:45+08:00
2026-09-10,0.0506,verified,2026-09-10T21:43:45+08:00
2026-09-11,0.0509,verified,2026-09-11T21:42:09+08:00
2026-09-14,0.0513,verified,2026-09-14T23:57:50+08:00
2026-09-15,0.0518,verified,2026-09-15T22:23:35+08:00
2026-09-16,0.0516,verified,2026-09-16T22:16:14+08:00
