code,name,index
000001,平安银行,全市场
000002,万  科Ａ,全市场
000006,深振业Ａ,全市场
000007,全新好,全市场
000008,神州高铁,全市场
000009,中国宝安,全市场
000011,深物业A,全市场
000012,南  玻Ａ,全市场
000014,沙河股份,全市场
000017,深中华A,全市场
000019,深粮控股,全市场
000020,深华发Ａ,全市场
000021,深科技,全市场
000025,特  力Ａ,全市场
000026,飞亚达,全市场
000027,深圳能源,全市场
000028,国药一致,全市场
000029,深深房Ａ,全市场
000030,富奥股份,全市场
000031,大悦城,全市场
000032,深桑达Ａ,全市场
000034,神州数码,全市场
000035,中国天楹,全市场
000036,华联控股,全市场
000037,深南电A,全市场
000039,中集集团,全市场
000042,中洲控股,全市场
000045,深纺织Ａ,全市场
000048,京基智农,全市场
000049,德赛电池,全市场
000050,深天马Ａ,全市场
000055,方大集团,全市场
000058,深 赛 格,全市场
000059,华锦股份,全市场
000060,中金岭南,全市场
000061,农 产 品,全市场
000062,深圳华强,全市场
000063,中兴通讯,全市场
000065,北方国际,全市场
000066,中国长城,全市场
000068,华控赛格,全市场
000069,华侨城Ａ,全市场
000070,特发信息,全市场
000088,盐 田 港,全市场
000089,深圳机场,全市场
000090,天健集团,全市场
000096,广聚能源,全市场
000099,中信海直,全市场
000100,TCL科技,全市场
000151,中成股份,全市场
000153,丰原药业,全市场
000155,川能动力,全市场
000156,华数传媒,全市场
000157,中联重科,全市场
000158,常山北明,全市场
000159,国际实业,全市场
000166,申万宏源,全市场
000301,东方盛虹,全市场
000333,美的集团,全市场
000338,潍柴动力,全市场
000400,许继电气,全市场
000401,金隅冀东,全市场
000402,金 融 街,全市场
000403,派林生物,全市场
000404,长虹华意,全市场
000407,胜利股份,全市场
000408,藏格矿业,全市场
000409,云鼎科技,全市场
000410,沈阳机床,全市场
000411,英特集团,全市场
000415,渤海租赁,全市场
000417,合百集团,全市场
000419,通程控股,全市场
000420,吉林化纤,全市场
000421,南京公用,全市场
000422,湖北宜化,全市场
000423,东阿阿胶,全市场
000425,徐工机械,全市场
000426,兴业银锡,全市场
000428,华天酒店,全市场
000429,粤高速Ａ,全市场
000430,张家界,全市场
000498,山东路桥,全市场
000501,武商集团,全市场
000503,国新健康,全市场
000504,南华生物,全市场
000505,京粮控股,全市场
000506,招金黄金,全市场
000507,珠海港,全市场
000509,华塑控股,全市场
000510,新金路,全市场
000513,丽珠集团,全市场
000514,渝 开 发,全市场
000516,国际医学,全市场
000517,荣安地产,全市场
000518,四环生物,全市场
000519,中兵红箭,全市场
000520,凤凰航运,全市场
000521,长虹美菱,全市场
000523,红棉股份,全市场
000524,岭南控股,全市场
000525,红太阳,全市场
000526,学大教育,全市场
000528,柳    工,全市场
000529,广弘控股,全市场
000530,冰山冷热,全市场
000531,穗恒运Ａ,全市场
000532,华金资本,全市场
000533,顺钠股份,全市场
000534,万泽股份,全市场
000536,华映科技,全市场
000537,绿发电力,全市场
000538,云南白药,全市场
