行业代码,行业名称,成份个数,静态市盈率,TTM(滚动)市盈率,市净率,静态股息率
801010.SI,农林牧渔,104,21.48,27.11,2.0,2.42
801030.SI,基础化工,410,29.55,28.61,2.62,1.39
801040.SI,钢铁,44,15.95,16.31,0.9,2.48
801050.SI,有色金属,142,25.33,21.07,3.49,1.33
801080.SI,电子,486,94.94,84.58,8.87,0.37
801880.SI,汽车,287,21.74,22.81,2.11,1.93
801110.SI,家用电器,94,14.92,15.19,2.25,4.13
801120.SI,食品饮料,123,18.85,18.56,3.21,5.04
801130.SI,纺织服饰,107,19.64,19.59,1.63,3.95
801140.SI,轻工制造,158,21.52,22.12,2.0,2.74
801150.SI,医药生物,480,28.61,28.16,2.59,1.79
801160.SI,公用事业,131,18.07,18.48,1.72,2.85
801170.SI,交通运输,126,14.38,14.15,1.15,3.8
801180.SI,房地产,99,10.37,10.23,0.93,2.02
801200.SI,商贸零售,98,23.82,21.46,1.76,2.15
801210.SI,社会服务,80,30.36,30.74,2.34,1.73
801780.SI,银行,42,6.52,6.47,0.61,5.82
801790.SI,非银金融,81,10.38,10.42,1.26,2.34
801230.SI,综合,15,122.87,121.43,4.55,0.68
801710.SI,建筑材料,72,46.09,45.18,2.5,2.34
801720.SI,建筑装饰,155,10.18,10.61,0.68,3.1
801730.SI,电力设备,371,35.45,33.28,3.59,1.2
801890.SI,机械设备,535,43.19,43.17,3.65,1.14
801740.SI,国防军工,138,66.58,60.31,3.88,0.59
801750.SI,计算机,334,49.53,47.08,3.86,1.11
801760.SI,传媒,130,24.52,23.6,1.93,2.65
801770.SI,通信,123,32.07,31.71,3.0,2.01
801950.SI,煤炭,37,16.27,16.36,1.52,5.65
801960.SI,石油石化,47,12.38,11.87,1.12,4.61
801970.SI,环保,132,22.62,21.35,1.57,2.02
801980.SI,美容护理,29,27.47,27.81,2.32,2.49
