date,cash,market_value,total_value,positions,benchmark_price,strategy_nav,benchmark_nav
2020-01-02,1000000.0,0.0,1000000.0,0,4152.241,1.0,1.0
2020-01-03,1000000.0,0.0,1000000.0,0,4144.965,1.0,0.9982476932336057
2020-01-06,1000000.0,0.0,1000000.0,0,4129.295,1.0,0.9944738275066404
2020-01-07,1000000.0,0.0,1000000.0,0,4160.227,1.0,1.0019232987680629
2020-01-08,1000000.0,0.0,1000000.0,0,4112.317,1.0,0.9903849511625168
2020-01-09,1000000.0,0.0,1000000.0,0,4164.37,1.0,1.0029210732228693
2020-01-10,1000000.0,0.0,1000000.0,0,4163.185,1.0,1.0026356851637466
2020-01-13,1000000.0,0.0,1000000.0,0,4203.988,1.0,1.0124624269159714
2020-01-14,1000000.0,0.0,1000000.0,0,4189.886,1.0,1.009066188595508
2020-01-15,1000000.0,0.0,1000000.0,0,4166.734,1.0,1.003490404338284
2020-01-16,1000000.0,0.0,1000000.0,0,4149.043,1.0,0.9992298134910762
2020-01-17,1000000.0,0.0,1000000.0,0,4154.853,1.0,1.000629057899096
2020-01-20,1000000.0,0.0,1000000.0,0,4185.83,1.0,1.008089366681751
2020-01-21,1000000.0,0.0,1000000.0,0,4114.309,1.0,0.9908646921024094
2020-01-22,1000000.0,0.0,1000000.0,0,4131.931,1.0,0.9951086654170602
2020-01-23,1000000.0,0.0,1000000.0,0,4003.901,1.0,0.9642747133415425
2020-02-03,1000000.0,0.0,1000000.0,0,3688.358,1.0,0.8882812919577645
2020-02-04,1000000.0,0.0,1000000.0,0,3785.638,1.0,0.9117096045244002
2020-02-05,1000000.0,0.0,1000000.0,0,3828.527,1.0,0.9220387255942032
2020-02-06,1000000.0,0.0,1000000.0,0,3899.775,1.0,0.9391976525447343
2020-02-07,1000000.0,0.0,1000000.0,0,3899.869,1.0,0.93922029092242
2020-02-10,1000000.0,0.0,1000000.0,0,3916.005,1.0,0.943106385202593
2020-02-11,1000000.0,0.0,1000000.0,0,3952.464,1.0,0.9518869449051729
2020-02-12,1000000.0,0.0,1000000.0,0,3984.433,1.0,0.9595861608225534
2020-02-13,1000000.0,0.0,1000000.0,0,3959.919,1.0,0.9536823609226921
2020-02-14,1000000.0,0.0,1000000.0,0,3987.734,1.0,0.9603811532134093
2020-02-17,1000000.0,0.0,1000000.0,0,4077.424,1.0,0.9819815371988283
2020-02-18,1000000.0,0.0,1000000.0,0,4057.511,1.0,0.9771858136365399
2020-02-19,1000000.0,0.0,1000000.0,0,4051.311,1.0,0.9756926440445052
2020-02-20,1000000.0,0.0,1000000.0,0,4144.656,1.0,0.9981732755878091
2020-02-21,1000000.0,0.0,1000000.0,0,4149.49,1.0,0.9993374662019858
2020-02-24,1000000.0,0.0,1000000.0,0,4132.839,1.0,0.9953273425121518
2020-02-25,1000000.0,0.0,1000000.0,0,4123.854,1.0,0.9931634507727274
2020-02-26,1000000.0,0.0,1000000.0,0,4073.015,1.0,0.9809197009518474
2020-02-27,1000000.0,0.0,1000000.0,0,4084.876,1.0,0.983776230714932
2020-02-28,1000000.0,0.0,1000000.0,0,3940.049,1.0,0.9488969932140259
2020-03-02,1000000.0,0.0,1000000.0,0,4069.666,1.0,0.9801131485383435
2020-03-03,1000000.0,0.0,1000000.0,0,4091.362,1.0,0.9853382787752445
2020-03-04,1000000.0,0.0,1000000.0,0,4115.052,1.0,0.9910436316196483
2020-03-05,1000000.0,0.0,1000000.0,0,4206.725,1.0,1.0131215890407133
2020-03-06,1000000.0,0.0,1000000.0,0,4138.507,1.0,0.9966923885198378
2020-03-09,1000000.0,0.0,1000000.0,0,3997.133,1.0,0.962644750148173
2020-03-10,1000000.0,0.0,1000000.0,0,4082.732,1.0,0.9832598830366541
2020-03-11,1000000.0,0.0,1000000.0,0,4028.429,1.0,0.9701818849146763
2020-03-12,1000000.0,0.0,1000000.0,0,3950.911,1.0,0.9515129300057488
2020-03-13,1000000.0,0.0,1000000.0,0,3895.313,1.0,0.9381230521060796
2020-03-16,1000000.0,0.0,1000000.0,0,3727.84,1.0,0.8977898922533639
2020-03-17,1000000.0,0.0,1000000.0,0,3709.682,1.0,0.8934168320191433
2020-03-18,1000000.0,0.0,1000000.0,0,3636.257,1.0,0.875733609874764
2020-03-19,1000000.0,0.0,1000000.0,0,3589.093,1.0,0.8643749242878724
2020-03-20,1000000.0,0.0,1000000.0,0,3653.224,1.0,0.8798198370470308
2020-03-23,1000000.0,0.0,1000000.0,0,3530.306,1.0,0.8502170273835261
2020-03-24,1000000.0,0.0,1000000.0,0,3625.115,1.0,0.8730502396175944
2020-03-25,1000000.0,0.0,1000000.0,0,3722.518,1.0,0.8965081747422657
2020-03-26,1000000.0,0.0,1000000.0,0,3698.047,1.0,0.8906147306960266
2020-03-27,1000000.0,0.0,1000000.0,0,3710.061,1.0,0.8935081080313017
2020-03-30,1000000.0,0.0,1000000.0,0,3674.111,1.0,0.8848501327355517
2020-03-31,1000000.0,0.0,1000000.0,0,3686.155,1.0,0.8877507350849819
2020-04-01,1000000.0,0.0,1000000.0,0,3675.076,1.0,0.8850825373575378
2020-04-02,1000000.0,0.0,1000000.0,0,3734.531,1.0,0.8994013112437356
2020-04-03,1000000.0,0.0,1000000.0,0,3713.218,1.0,0.8942684203542135
2020-04-07,1000000.0,0.0,1000000.0,0,3798.021,1.0,0.9146918495337819
2020-04-08,1000000.0,0.0,1000000.0,0,3780.345,1.0,0.9104348711936517
2020-04-09,1000000.0,0.0,1000000.0,0,3792.811,1.0,0.9134371054088624
2020-04-10,1000000.0,0.0,1000000.0,0,3769.178,1.0,0.907745480091353
2020-04-13,1000000.0,0.0,1000000.0,0,3753.257,1.0,0.9039111650792909
2020-04-14,1000000.0,0.0,1000000.0,0,3825.699,1.0,0.9213576475931913
2020-04-15,1000000.0,0.0,1000000.0,0,3797.362,1.0,0.9145331400561769
2020-04-16,1000000.0,0.0,1000000.0,0,3802.381,1.0,0.9157418849243095
2020-04-17,1000000.0,0.0,1000000.0,0,3839.487,1.0,0.9246782640988325
2020-04-20,1000000.0,0.0,1000000.0,0,3853.455,1.0,0.9280422306894036
2020-04-21,1000000.0,0.0,1000000.0,0,3808.047,1.0,0.9171064492643852
2020-04-22,1000000.0,0.0,1000000.0,0,3839.383,1.0,0.924653217383095
2020-04-23,1000000.0,0.0,1000000.0,0,3829.753,1.0,0.9223339878393378
2020-04-24,1000000.0,0.0,1000000.0,0,3796.972,1.0,0.9144392148721618
2020-04-27,1000000.0,0.0,1000000.0,0,3822.769,1.0,0.9206520045440522
2020-04-28,1000000.0,0.0,1000000.0,0,3849.147,1.0,0.9270047186567446
2020-04-29,1000000.0,0.0,1000000.0,0,3867.032,1.0,0.9313120312621547
2020-04-30,1000000.0,0.0,1000000.0,0,3912.577,1.0,0.9422808069184809
2020-05-06,1000000.0,0.0,1000000.0,0,3936.254,1.0,0.9479830289234175
2020-05-07,1000000.0,0.0,1000000.0,0,3924.895,1.0,0.9452473977305267
2020-05-08,1000000.0,0.0,1000000.0,0,3963.622,1.0,0.9545741685032251
2020-05-11,1000000.0,0.0,1000000.0,0,3960.18,1.0,0.9537452185458406
2020-05-12,1000000.0,0.0,1000000.0,0,3960.238,1.0,0.9537591869065403
2020-05-13,1000000.0,0.0,1000000.0,0,3968.253,1.0,0.9556894698549531
2020-05-14,1000000.0,0.0,1000000.0,0,3925.218,1.0,0.9453251870495956
2020-05-15,1000000.0,0.0,1000000.0,0,3912.816,1.0,0.9423383661979158
2020-05-18,1000000.0,0.0,1000000.0,0,3922.912,1.0,0.9447698242948808
2020-05-19,1000000.0,0.0,1000000.0,0,3956.25,1.0,0.9527987416915348
2020-05-20,1000000.0,0.0,1000000.0,0,3935.222,1.0,0.9477344884364853
