time,code,name,direction,price,quantity,reason,pnl
2021-01-12,000975,山金国际,BUY,8.06,24800,入场: 深度价值信号,0.0
2021-03-09,000568,泸州老窖,BUY,187.21,1000,入场: 深度价值信号,0.0
2021-03-26,000568,泸州老窖,SELL,224.91,1000,移动止盈 回撤28.4%,37699.999999999985
2021-06-02,000975,山金国际,SELL,10.05,24800,移动止盈 回撤9.8%,49352.00000000001
2021-06-02,000975,山金国际,BUY,10.05,19900,入场: 深度价值信号,0.0
2021-07-27,002027,分众传媒,BUY,7.25,27500,入场: 深度价值信号,0.0
2021-07-28,000975,山金国际,SELL,8.82,19900,硬止损 -12.2%,-24477.000000000007
2021-07-28,000975,山金国际,BUY,8.82,22600,入场: 深度价值信号,0.0
2021-07-29,000568,泸州老窖,BUY,185.35,1000,入场: 深度价值信号,0.0
2021-08-20,000568,泸州老窖,SELL,161.38,1000,硬止损 -12.9%,-23970.0
2021-08-20,000568,泸州老窖,BUY,161.38,1100,入场: 深度价值信号,0.0
2021-09-27,000568,泸州老窖,SELL,205.04,1100,移动止盈 回撤10.3%,48025.99999999999
2021-10-22,000807,云铝股份,BUY,12.95,15400,入场: 深度价值信号,0.0
2021-10-29,000807,云铝股份,SELL,11.89,15400,硬止损 -8.2%,-16323.99999999998
2021-10-29,000807,云铝股份,BUY,11.89,16800,入场: 深度价值信号,0.0
2021-11-05,000807,云铝股份,SELL,10.69,16800,硬止损 -10.1%,-20160.00000000002
2021-11-05,000807,云铝股份,BUY,10.69,18200,入场: 深度价值信号,0.0
2022-01-26,000975,山金国际,SELL,8.82,11300,时间止损 182天,0.0
2022-01-27,000975,山金国际,SELL,8.1,11300,硬止损 -8.2%,-8136.000000000007
2022-03-04,002027,分众传媒,SELL,7.19,13700,时间止损 220天,-821.9999999999947
2022-03-07,002027,分众传媒,SELL,7.12,6900,时间止损 223天,-896.9999999999993
2022-03-08,002027,分众传媒,SELL,6.9,3400,时间止损 224天,-1189.9999999999989
