entry_date,code,name,strategy,entry_price,current_price,pnl_pct,max_pnl_pct,max_dd_pct,exit_date,exit_reason
2026-07-10,975,山金国际,deep_value,19.22,22.45,0.1681,0.1868,-0.0349,,
2026-07-10,2625,光启技术,deep_value,29.56,29.71,0.0051,0.0101,-0.1069,2026-07-24,dropped
2026-07-10,2027,分众传媒,deep_value,4.74,5.47,0.154,0.154,0.0,,
2026-07-10,1391,国货航,deep_value,4.11,4.33,0.0535,0.0657,-0.0049,2026-07-24,dropped
2026-07-10,2558,巨人网络,deep_value,28.32,26.98,-0.0473,0.0692,-0.1462,,
2026-07-10,807,云铝股份,deep_value,21.89,26.87,0.2275,0.2275,0.0,2026-07-24,dropped
2026-07-10,2202,金风科技,deep_value,20.33,17.62,-0.1333,0.0,-0.1633,2026-07-27,dropped
2026-07-10,2532,天山铝业,deep_value,10.67,13.22,0.239,0.239,0.0,2026-07-24,dropped
2026-07-10,2,万科A,trend,2.98,3.28,0.1007,0.1007,0.0,,
2026-07-10,2466,天齐锂业,trend,49.79,49.34,-0.009,0.0,-0.084,2026-07-17,dropped
2026-07-10,2709,天赐材料,trend,41.46,36.61,-0.117,0.0,-0.117,2026-07-17,dropped
2026-07-10,2460,赣锋锂业,trend,55.99,51.5,-0.0802,0.0,-0.0868,2026-07-15,dropped
2026-07-10,2493,荣盛石化,trend,10.98,11.14,0.0146,0.0282,-0.0082,2026-07-17,dropped
2026-07-10,807,云铝股份,trend,21.89,25.37,0.159,0.1923,0.0,2026-07-17,dropped
2026-07-10,301,东方盛虹,trend,12.48,12.17,-0.0248,0.0,-0.0905,2026-07-24,dropped
2026-07-10,657,中钨高新,trend,75.99,67.25,-0.115,0.0,-0.115,2026-07-17,dropped
2026-07-10,2049,紫光国微,trend,87.09,70.16,-0.1944,0.0,-0.1944,2026-07-17,dropped
2026-07-10,2558,巨人网络,trend,28.32,30.28,0.0692,0.0692,-0.0512,2026-07-17,dropped
2026-07-15,858,五 粮 液,trend,76.4,76.4,0.0,0.0,0.0,2026-07-16,dropped
2026-07-17,36,华联控股,trend,4.15,4.15,0.0,0.0,0.0,2026-07-20,dropped
2026-07-17,69,华侨城Ａ,trend,1.65,1.65,0.0,0.0,0.0,2026-07-20,dropped
2026-07-17,70,特发信息,trend,13.5,13.5,0.0,0.0,0.0,2026-07-20,dropped
2026-07-17,402,金 融 街,trend,2.39,2.39,0.0,0.0,0.0,2026-07-20,dropped
2026-07-17,31,大悦城,trend,2.08,2.08,0.0,0.0,0.0,2026-07-20,dropped
2026-07-17,32,深桑达Ａ,trend,15.48,15.48,0.0,0.0,0.0,2026-07-20,dropped
2026-07-17,37,深南电A,trend,9.2,9.2,0.0,0.0,0.0,2026-07-20,dropped
2026-07-17,151,中成股份,trend,9.1,9.1,0.0,0.0,0.0,2026-07-20,dropped
2026-07-24,600426,华鲁恒升,deep_value,21.42,21.59,0.0079,0.0079,-0.0341,,
2026-07-24,2602,世纪华通,deep_value,12.28,13.55,0.1034,0.1034,0.0,,
2026-07-24,601888,中国中免,deep_value,55.24,57.38,0.0387,0.0387,-0.0369,,
2026-07-24,688111,金山办公,deep_value,238.39,245.58,0.0302,0.0302,-0.0481,,
2026-07-24,601127,赛力斯,deep_value,56.38,58.0,0.0287,0.0287,-0.0364,,
2026-07-24,605499,东鹏饮料,deep_value,128.17,142.56,0.1123,0.1123,-0.0183,,
2026-07-24,600547,山东黄金,deep_value,27.42,27.33,-0.0033,0.0,-0.054,,
2026-07-24,300450,先导智能,deep_value,33.09,33.41,0.0097,0.0127,-0.0323,,
2026-07-24,600415,小商品城,deep_value,11.25,12.65,0.1244,0.1244,-0.0267,,
2026-07-24,300033,同花顺,deep_value,228.34,224.0,-0.019,0.0,-0.0629,,
2026-07-24,2241,歌尔股份,deep_value,22.49,23.69,0.0534,0.0534,0.0,,
2026-07-24,858,五 粮 液,deep_value,74.84,75.17,0.0044,0.0044,-0.017,,
2026-07-24,300014,亿纬锂能,deep_value,55.31,53.22,-0.0378,0.0,-0.0378,,
2026-07-24,300476,胜宏科技,deep_value,238.93,201.61,-0.1562,0.0,-0.1562,,
2026-07-24,300760,迈瑞医疗,deep_value,150.8,154.88,0.0271,0.0271,-0.0293,,
