code,name,strategy,score,reason,checked_at,cycle_warning,m_price,m_high_52w,m_drawdown_52w,m_vol_ratio,m_shrink_days,m_price_percentile_1y,m_index,m_roe,m_debt_ratio,m_cf_np_ratio,m_profit_yoy,m_revenue_yoy
002625,光启技术,deep_value,98.4,距52周高点跌51%；价格处近1年最低3%区间；ROE 7.4%；负债率18.6%；CFO/EPS 1.19；利润同比+17.0%,2026-08-21,,28.11,57.91,0.5146,0.5213,0.0,0.032,沪深300,7.4,18.57,1.19,17.03,40.28
002558,巨人网络,deep_value,98.2,距52周高点跌51%；价格处近1年最低9%区间；ROE 12.4%；负债率19.9%；CFO/EPS 1.64；利润同比+210.6%,2026-08-21,,26.13,52.96,0.5066,0.4476,1.0,0.088,沪深300,12.45,19.86,1.64,210.58,221.7
601888,中国中免,deep_value,97.1,距52周高点跌47%；价格处近1年最低3%区间；ROE 6.5%；负债率25.5%；CFO/EPS 1.69；利润同比+21.2%,2026-08-21,,52.29,98.93,0.4714,0.5456,0.0,0.028,沪深300,6.48,25.54,1.69,21.18,0.96
688111,金山办公,deep_value,95.5,距52周高点跌42%；价格处近1年最低20%区间；ROE 15.2%；负债率27.8%；CFO/EPS 1.36；利润同比+236.9%,2026-08-21,,240.5,412.61,0.4171,0.3958,1.0,0.196,沪深300,15.2,27.79,1.36,236.94,24.69
002027,分众传媒,deep_value,95.2,距52周高点跌41%；价格处近1年最低8%区间；ROE 18.3%；负债率25.3%；CFO/EPS 2.45；利润同比+57.6%,2026-08-21,,4.9,8.25,0.4061,0.78,0.0,0.076,沪深300,18.28,25.3,2.45,57.65,2.01
300450,先导智能,deep_value,90.3,距52周高点跌51%；价格处近1年最低12%区间；ROE 12.7%；[注意]负债率61.6%偏高；CFO/EPS 3.14；利润同比+11.0%,2026-08-21,,33.91,69.22,0.5101,0.7395,0.0,0.116,沪深300,12.65,61.64,3.14,10.99,19.11
605499,东鹏饮料,deep_value,90.0,距52周高点跌50%；价格处近1年最低2%区间；ROE 51.6%；[注意]负债率45.5%偏高；CFO/EPS 1.40；利润同比+20.7%,2026-08-21,,120.03,240.56,0.501,0.5583,0.0,0.024,沪深300,51.61,45.47,1.4,20.72,15.89
002920,德赛西威,deep_value,88.0,距52周高点跌43%；价格处近1年最低11%区间；ROE 21.7%；[注意]负债率46.8%偏高；CFO/EPS 1.11；利润同比+1.8%,2026-08-21,,86.42,152.34,0.4327,0.6089,0.0,0.112,沪深300,21.67,46.75,1.11,1.81,1.75
000858,五 粮 液,deep_value,87.8,距52周高点跌43%；价格处近1年最低4%区间；ROE 6.9%；[注意]负债率34.3%偏高；CFO/EPS 3.32；利润同比+82.6%,2026-08-21,,71.19,124.5,0.4282,0.5722,0.0,0.04,沪深300,6.89,34.31,3.32,82.57,33.67
300014,亿纬锂能,deep_value,87.2,距52周高点跌41%；价格处近1年最低16%区间；ROE 10.5%；[注意]负债率64.9%偏高；CFO/EPS 1.79；利润同比+31.4%,2026-08-21,,55.79,94.12,0.4072,1.015,0.0,0.164,沪深300,10.5,64.89,1.79,31.35,61.61
001391,国货航,deep_value,85.1,距52周高点跌40%；价格处近1年最低2%区间；ROE 10.0%；负债率11.1%；CFO/EPS 1.67,2026-08-21,,4.07,6.84,0.405,0.6934,0.0,0.02,沪深300,10.01,11.05,1.67,-18.45,0.73
300803,指南针,deep_value,81.3,距52周高点跌54%；价格处近1年最低8%区间；ROE 9.2%；[注意]负债率84.8%偏高；CFO/EPS 13.18,2026-08-21,,81.88,178.88,0.5423,0.9749,0.0,0.08,沪深300,9.24,84.78,13.18,-19.8,30.96
601689,拓普集团,deep_value,78.7,距52周高点跌46%；价格处近1年最低4%区间；ROE 12.4%；[注意]负债率40.8%偏高；CFO/EPS 1.60,2026-08-21,,46.92,86.29,0.4563,0.4425,1.0,0.04,沪深300,12.37,40.77,1.6,-2.42,14.92
603986,兆易创新,deep_value,78.5,距52周高点跌52%；ROE 9.3%；负债率8.1%；CFO/EPS 1.29；利润同比+522.8%,2026-08-21,,409.06,846.66,0.5169,0.5557,0.0,0.788,沪深300,9.3,8.13,1.29,522.79,119.38
600415,小商品城,deep_value,78.3,距52周高点跌44%；ROE 17.5%；[注意]负债率45.7%偏高；CFO/EPS 2.49；利润同比+23.3%,2026-08-21,,12.48,22.37,0.4421,0.7452,0.0,0.292,沪深300,17.53,45.73,2.49,23.29,45.29
603799,华友钴业,deep_value,78.1,距52周高点跌50%；价格处近1年最低7%区间；ROE 13.7%；[注意]负债率63.6%偏高；利润同比+99.5%,2026-08-21,,40.59,81.47,0.5018,0.8727,0.0,0.068,沪深300,13.7,63.57,0.63,99.45,44.62
002241,歌尔股份,deep_value,77.5,距52周高点跌42%；ROE 11.3%；[注意]负债率58.7%偏高；CFO/EPS 1.69；利润同比+7.3%,2026-08-21,,23.4,40.2,0.4179,2.1965,0.0,0.224,沪深300,11.29,58.71,1.69,7.28,14.44
