code,name,strategy,score,reason,checked_at,cycle_warning,m_price,m_high_52w,m_drawdown_52w,m_vol_ratio,m_shrink_days,m_price_percentile_1y,m_index
000572,海马汽车,deep_value,53.2,距52周高点跌67%；价格处近1年最低12%区间,2026-08-06,,3.92,12.03,0.6741,0.7691,0.0,0.12,全市场
000014,沙河股份,deep_value,51.1,距52周高点跌60%；价格处近1年最低14%区间,2026-08-06,,10.13,25.62,0.6046,0.6044,0.0,0.136,全市场
000020,深华发Ａ,deep_value,50.2,距52周高点跌57%；价格处近1年最低10%区间,2026-08-06,,10.92,25.66,0.5744,0.9651,0.0,0.1,全市场
000753,漳州发展,deep_value,50.2,距52周高点跌57%；价格处近1年最低12%区间,2026-08-06,,4.82,11.32,0.5742,0.9093,0.0,0.124,全市场
000735,罗 牛 山,deep_value,50.1,距52周高点跌57%；价格处近1年最低16%区间,2026-08-06,,5.24,12.15,0.5687,1.1923,0.0,0.156,全市场
000558,天府文旅,deep_value,49.9,距52周高点跌56%；价格处近1年最低13%区间,2026-08-06,,3.46,7.91,0.5626,0.7837,0.0,0.128,全市场
000006,深振业Ａ,deep_value,49.9,距52周高点跌56%；价格处近1年最低12%区间,2026-08-06,,6.79,15.5,0.5619,0.712,0.0,0.124,全市场
000002,万  科Ａ,deep_value,49.4,距52周高点跌55%；价格处近1年最低17%区间,2026-08-06,,3.28,7.22,0.5457,0.6802,0.0,0.168,全市场
000564,供销大集,deep_value,49.2,距52周高点跌54%；价格处近1年最低14%区间,2026-08-06,,1.45,3.16,0.5411,1.0731,0.0,0.14,全市场
000796,凯撒旅业,deep_value,49.1,距52周高点跌54%；价格处近1年最低11%区间,2026-08-06,,3.9,8.42,0.5368,0.741,0.0,0.108,全市场
000586,汇源通信,deep_value,49.1,距52周高点跌54%；价格处近1年最低9%区间,2026-08-06,,11.66,25.12,0.5358,0.9621,0.0,0.088,全市场
000818,航锦科技,deep_value,48.9,距52周高点跌53%；价格处近1年最低13%区间,2026-08-06,,13.69,29.03,0.5284,1.1005,0.0,0.128,全市场
000561,烽火电子,deep_value,48.8,距52周高点跌53%；价格处近1年最低11%区间,2026-08-06,,7.62,16.1,0.5267,0.6249,0.0,0.112,全市场
000555,神州信息,deep_value,48.6,距52周高点跌52%；价格处近1年最低11%区间,2026-08-06,,11.07,23.03,0.5193,0.9068,0.0,0.112,全市场
000797,中国武夷,deep_value,48.2,距52周高点跌51%；价格处近1年最低14%区间,2026-08-06,,2.4,4.87,0.5072,0.7143,0.0,0.136,全市场
000663,永安林业,deep_value,48.1,距52周高点跌50%；价格处近1年最低12%区间,2026-08-06,,5.35,10.78,0.5037,0.8718,0.0,0.116,全市场
000158,常山北明,deep_value,48.1,距52周高点跌50%；价格处近1年最低13%区间,2026-08-06,,14.08,28.37,0.5037,1.5413,0.0,0.128,全市场
000679,大连友谊,deep_value,48.1,距52周高点跌50%；价格处近1年最低6%区间,2026-08-06,,5.83,11.7,0.5017,0.5312,0.0,0.06,全市场
000509,华塑控股,deep_value,48.0,距52周高点跌50%；价格处近1年最低10%区间,2026-08-06,,3.16,6.3,0.4984,0.7799,0.0,0.1,全市场
000718,苏宁环球,deep_value,47.9,距52周高点跌50%；价格处近1年最低13%区间,2026-08-06,,1.89,3.75,0.496,0.9098,0.0,0.132,全市场
000536,华映科技,deep_value,47.9,距52周高点跌50%；价格处近1年最低8%区间,2026-08-06,,3.33,6.6,0.4955,1.0162,0.0,0.084,全市场
000596,古井贡酒,deep_value,47.7,距52周高点跌49%；价格处近1年最低13%区间,2026-08-06,,90.0,177.01,0.4916,0.9429,0.0,0.132,全市场
000032,深桑达Ａ,deep_value,47.7,距52周高点跌49%；价格处近1年最低3%区间,2026-08-06,,14.62,28.6,0.4888,0.903,0.0,0.032,全市场
000678,襄阳轴承,deep_value,47.5,距52周高点跌48%；价格处近1年最低12%区间,2026-08-06,,9.02,17.5,0.4846,1.123,0.0,0.124,全市场
000617,中油资本,deep_value,47.4,距52周高点跌48%；价格处近1年最低11%区间,2026-08-06,,7.14,13.69,0.4785,0.7113,0.0,0.112,全市场
000034,神州数码,deep_value,47.3,距52周高点跌48%；价格处近1年最低10%区间,2026-08-06,,25.9,49.4,0.4757,0.9223,0.0,0.1,全市场
000524,岭南控股,deep_value,47.2,距52周高点跌47%；价格处近1年最低15%区间,2026-08-06,,9.37,17.77,0.4727,0.4795,1.0,0.152,全市场
000710,贝瑞基因,deep_value,47.1,距52周高点跌47%；价格处近1年最低20%区间,2026-08-06,,9.19,17.37,0.4709,3.7002,0.0,0.2,全市场
000799,酒鬼酒,deep_value,46.9,距52周高点跌46%；价格处近1年最低14%区间,2026-08-06,,41.09,76.8,0.465,1.0099,0.0,0.14,全市场
000576,甘化科工,deep_value,46.9,距52周高点跌46%；价格处近1年最低10%区间,2026-08-06,,7.02,13.09,0.4637,0.6455,0.0,0.104,全市场
