date,portfolio_value,benchmark_price,portfolio_return,benchmark_return,alpha,positions,cash_pct
2026-07-08,1013754.0,4755.53,0.0138,0.0004,0.0134,3,61.3
2026-07-09,1001839.0,4876.31,0.0018,0.0258,-0.024,3,62.0
2026-07-10,1001839.0,4780.79,0.0018,0.0057,-0.0039,3,62.0
2026-07-13,1005056.0,4695.38,0.0051,-0.0123,0.0174,3,61.8
2026-07-14,1005056.0,4796.5,0.0051,0.009,-0.0039,3,61.8
2026-07-15,1013523.0,4786.78,0.0135,0.007,0.0065,3,61.3
2026-07-16,1018795.0,4698.43,0.0188,-0.0116,0.0304,3,61.0
2026-07-17,1006444.0,4529.1,0.0064,-0.0472,0.0536,3,61.7
2026-07-20,1017080.0,4598.32,0.0171,-0.0327,0.0498,3,61.1
2026-07-21,1027751.0,4739.23,0.0278,-0.003,0.0308,3,60.4
2026-07-22,1041511.0,4753.61,0.0415,-0.0004,0.0419,3,59.7
2026-07-23,1036431.0,4753.61,0.0364,-0.0004,0.0368,3,59.9
2026-07-24,1036431.0,4645.95,0.0364,-0.023,0.0595,3,59.9
2026-07-27,1033360.0,4645.95,0.0334,-0.023,0.0564,3,54.0
2026-07-28,1034442.0,4645.95,0.0344,-0.023,0.0575,3,54.0
2026-07-29,1055147.0,4645.95,0.0551,-0.023,0.0782,3,52.9
2026-07-31,1079491.0,4645.95,0.0795,-0.023,0.1025,3,51.7
2026-08-03,1065230.0,4645.95,0.0652,-0.023,0.0883,3,52.4
2026-08-04,1066787.0,4600.93,0.0668,-0.0325,0.0993,3,52.3
2026-08-05,1079997.0,4658.15,0.08,-0.0205,0.1005,3,51.7
2026-08-06,1079997.0,4658.15,0.08,-0.0205,0.1005,3,51.7
2026-08-07,1089526.0,4694.44,0.0895,-0.0128,0.1024,3,51.3
2026-08-10,1103088.0,4702.02,0.1031,-0.0113,0.1143,3,50.6
2026-08-11,1088248.0,4663.79,0.0882,-0.0193,0.1075,3,51.3
2026-08-12,1092306.0,4690.92,0.0923,-0.0136,0.1059,3,51.1
2026-08-13,1079378.0,4663.95,0.0794,-0.0193,0.0986,3,51.7
2026-08-14,1080246.0,4665.88,0.0802,-0.0189,0.0991,3,51.7
2026-08-17,1077168.0,4741.1,0.0772,-0.003,0.0802,3,51.8
2026-08-18,1077166.0,4725.81,0.0772,-0.0062,0.0834,3,51.8
2026-08-19,1072373.0,4588.7,0.0724,-0.0351,0.1075,3,52.1
2026-08-20,1081868.0,4592.75,0.0819,-0.0342,0.1161,3,51.6
2026-08-21,1083879.0,4618.9,0.0839,-0.0287,0.1126,3,51.5
2026-08-24,1091657.0,4563.13,0.0917,-0.0405,0.1321,3,51.2
2026-08-25,1082598.0,4552.03,0.0826,-0.0428,0.1254,3,51.6
2026-08-26,1078664.0,4590.79,0.0787,-0.0346,0.1133,3,51.8
2026-09-01,1071915.0,4611.44,0.0719,-0.0303,0.1022,3,52.1
2026-09-02,1064738.0,4547.96,0.0647,-0.0436,0.1084,3,52.4
2026-09-03,1069397.0,4552.58,0.0694,-0.0427,0.1121,3,52.2
2026-09-04,1071926.0,4548.05,0.0719,-0.0436,0.1156,3,52.1
2026-09-07,1066491.34,4575.02,0.0665,-0.038,0.1044,3,43.5
2026-09-08,1067272.34,4558.74,0.0673,-0.0414,0.1087,3,43.5
2026-09-09,1056289.34,4572.6,0.0563,-0.0385,0.0948,3,43.9
2026-09-10,1052081.34,4548.39,0.0521,-0.0436,0.0956,3,44.1
2026-09-11,1039437.34,4510.15,0.0394,-0.0516,0.091,3,44.7
2026-09-15,1032015.38,4450.04,0.032,-0.0642,0.0963,2,65.0
2026-09-16,1029898.38,4480.27,0.0299,-0.0579,0.0878,2,65.1
2026-09-17,1029018.38,4460.16,0.029,-0.0621,0.0911,2,65.2
2026-09-18,1030394.38,4507.39,0.0304,-0.0522,0.0826,2,65.1
