date,portfolio_value,benchmark_price,portfolio_return,benchmark_return,alpha,positions
2026-07-08,2000000.0,4755.53,0.0,0.0004,-0.0004,4
2026-07-09,1971961.0,4876.31,-0.014,0.0258,-0.0398,4
2026-07-10,1971961.0,4780.79,-0.014,0.0057,-0.0197,4
2026-07-13,1966772.0,4695.38,-0.0166,-0.0123,-0.0043,4
2026-07-14,1966772.0,4796.5,-0.0166,0.009,-0.0256,4
2026-07-15,2035758.0,4786.78,0.0179,0.007,0.0109,5
2026-07-16,2014351.0,4698.43,0.0072,-0.0116,0.0188,5
2026-07-17,1975180.0,4529.1,-0.0124,-0.0472,0.0348,4
2026-07-20,2012166.0,4598.32,0.0061,-0.0327,0.0388,4
2026-07-21,1988848.0,4739.23,-0.0056,-0.003,-0.0026,4
2026-07-22,1992508.0,4753.61,-0.0037,-0.0004,-0.0033,4
2026-07-23,1993294.0,4753.61,-0.0034,-0.0004,-0.0029,4
2026-07-24,1993294.0,4645.95,-0.0034,-0.023,0.0197,4
2026-07-27,1942998.0,4645.95,-0.0285,-0.023,-0.0055,4
