date,portfolio_value,benchmark_price,portfolio_return,benchmark_return,alpha,positions
2026-08-07,2000000.0,4694.44,0.0,0.0,0.0,0
2026-08-10,1999819.34,4702.02,-0.0001,0.0016,-0.0017,2
2026-08-11,1977513.92,4663.79,-0.0112,-0.0065,-0.0047,5
2026-08-12,1961540.55,4690.92,-0.0192,-0.0008,-0.0185,5
2026-08-13,1938185.55,4663.95,-0.0309,-0.0065,-0.0244,5
2026-08-14,1942708.55,4665.88,-0.0286,-0.0061,-0.0226,5
2026-08-17,1962977.55,4741.1,-0.0185,0.0099,-0.0285,5
2026-08-18,1963323.55,4725.81,-0.0183,0.0067,-0.025,5
2026-08-19,1937229.55,4588.7,-0.0314,-0.0225,-0.0089,5
2026-08-20,1933847.55,4592.75,-0.0331,-0.0217,-0.0114,5
2026-08-21,1956611.55,4618.9,-0.0217,-0.0161,-0.0056,5
