code,name,improvement,current_yoy,prev_yoy,roe,debt_ratio,report_date
000002,万  科Ａ,1630.3,4.7,-1625.6,-5.2,77.1,2026-03-31
000036,华联控股,426.0,354.1,-71.9,0.5,24.9,2026-03-31
000069,华侨城Ａ,306.6,3.5,-303.1,-4.0,80.5,2026-03-31
000301,东方盛虹,281.7,319.9,38.2,4.1,81.1,2026-03-31
000070,特发信息,242.9,36.7,-206.2,-1.1,78.4,2026-03-31
000402,金 融 街,226.5,190.4,-36.1,1.8,79.2,2026-03-31
000031,大悦城,189.0,14.2,-174.8,-2.2,76.7,2026-03-31
000032,深桑达Ａ,157.7,-142.0,-299.7,-1.1,81.9,2026-03-31
000037,深南电A,140.1,197.7,57.7,0.7,23.5,2026-03-31
000151,中成股份,137.5,185.7,48.2,2.0,73.8,2026-03-31
